Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
135-43-3,2,3,25.37388631,3,45,354461.9907,3070655.341,85.52324406,27.75246238,1315,KATHMANDU,3,2672.24,#N/A,13.46114317,#N/A,59.38569136,#N/A,40,#N/A,#N/A,2020,#N/A
135-43-5,2,3,14.74465603,3,45,354761.9907,3070505.341,85.52630553,27.75114115,1286,KATHMANDU,3,392.38,#N/A,6.603263859,#N/A,34.50876943,#N/A,37,#N/A,#N/A,2020-0-0,#VALUE!
135-43-6,2,3,30.83577879,3,45,354761.9907,3070655.341,85.5262873,27.75249485,1300,KATHMANDU,3,334.27,#N/A,11.20126307,#N/A,72.16884397,#N/A,64,#N/A,#N/A,2020-0-0,#VALUE!
135-46-5,2,3,53.06673447,3,45,355052.0362,3082501.836,85.52778884,27.8594356,1419,SINDHUPALCHOK,3,1608.84,#N/A,24.15223222,#N/A,124.1987402,#N/A,29,#N/A,#N/A,2020,#N/A
135-46-6,2,3,31.93699357,3,45,355052.0362,3082651.836,85.52777054,27.86078928,1341,SINDHUPALCHOK,3,924.25,#N/A,14.74402334,#N/A,74.74615515,#N/A,81.48148148,#N/A,#N/A,2020,#N/A
136-44-1,2,3,45.10118183,3,45,358557.504,3074257.491,85.56436327,27.78540836,909,SINDHUPALCHOK,3,427.33,286.257849,14.84414838,11.82149028,105.5559575,83.11131352,51,70,2011,2019-14-14,#VALUE!
136-44-4,2,3,8.422572376,3,45,358857.504,3074257.491,85.56740748,27.78543995,849,SINDHUPALCHOK,3,71.85,269.6792091,2.768210699,8.021632986,19.71240343,75.47936106,35,90,2011,2019,2958
137-33-1,2,3,64.17141265,3,45,361492.8353,3030173.664,85.59921515,27.38785286,1210,KABHREPALANCHOK,3,1836.1,1436.815458,23.80283384,17.28595747,150.1884126,92.92452284,84,80,2012,2019,2534
137-33-6,2,3,35.35116312,3,45,361792.8353,3030473.664,85.6022144,27.39059091,1429,KABHREPALANCHOK,3,607.95,782.290755,15.02790044,9.757235243,82.73676475,47.19369885,51,45,2012,2019,2518
137-41-3,2,3,34.04911002,3,45,362266.2899,3062464.315,85.60335583,27.67936142,1033,KABHREPALANCHOK,3,1231.28,#N/A,13.88930796,#N/A,79.68940644,#N/A,38,#N/A,#N/A,2019,#N/A
137-41-4,2,3,34.22100086,3,45,362566.2899,3062164.315,85.60643151,27.67668454,995,KABHREPALANCHOK,3,882.47,#N/A,12.20407015,#N/A,80.09170414,#N/A,64,#N/A,#N/A,2020,#N/A
137-41-6,2,3,67.00625337,3,45,362566.2899,3062464.315,85.60639715,27.67939205,961,KABHREPALANCHOK,3,671.84,#N/A,19.59005418,#N/A,156.8231462,#N/A,66,#N/A,#N/A,2020,#N/A
137-48-3,2,4&5,113.6756598,4,45,362943.0627,3090456.135,85.60699781,27.93205322,2369,SINDHUPALCHOK,3,2277.38,1940.806112,42.83400933,38.49123351,266.0494165,218.3575128,70,78,2014,2019,1873
